violet hair,,,undercut,rose clip,triple bun,leaf crown,"animal ear fluff, whale ears",,,"animal tail fluff, beast tail","animal ear fluff, whale ears","animal fluff, crystal beast ears, crystal beast tail"
lilac hair,,,wavy hair,scarf,cone hair bun,magician hat,"animal ear fluff, squid ears",,,"animal tail fluff, spirit beast tail","animal ear fluff, squid ears","animal fluff, glowing beast ears, glowing beast tail"
rose hair,,,widow's peak,silk bow,,mechanical goggles,"animal ear fluff, insectoid ears",,,"animal tail fluff, shadow beast tail","animal ear fluff, insectoid ears","animal fluff, metallic beast ears, metallic beast tail"
peach hair,,,wolf cut,silk scarf,,metal crown,"animal ear fluff, moth ears",,,"animal tail fluff, elemental tail","animal ear fluff, moth ears","animal fluff, mechanical beast ears, mechanical beast tail"
coral hair,,,,silver hairpin,,military cap,"animal ear fluff, butterfly ears",,,"animal tail fluff, crystal tail","animal ear fluff, butterfly ears","animal fluff, cybernetic beast ears, cybernetic beast tail"
sunset orange hair,,,,skull clip,,monk hood,"animal ear fluff, bird ears",,,"animal tail fluff, glowing tail","animal ear fluff, bird ears","animal fluff, robotic beast ears, robotic beast tail"
flame red hair,,,,small hair bow,,motorcycle helmet,"animal ear fluff, owl ears",,,"animal tail fluff, metallic tail","animal ear fluff, owl ears","animal fluff, alien ears, alien tail"
(fiery-red hair),,,,small tiara,,neon visor,"animal ear fluff, raven ears",,,"animal tail fluff, mechanical tail","animal ear fluff, raven ears","animal fluff, angel ears, angel tail"
silver-grey hair,,,,spirit flame in hair,,newsboy cap,"animal ear fluff, eagle ears",,,"animal tail fluff, cybernetic tail","animal ear fluff, eagle ears","animal fluff, ghost ears, ghost tail"
white-gold hair,,,,star clip,,nun hood,"animal ear fluff, phoenix ears",,,"animal tail fluff, robotic tail","animal ear fluff, phoenix ears","animal fluff, ethereal ears, ethereal tail"
smoky grey hair,,,,veil,,officer cap,,,,"animal tail fluff, alien tail",,"animal fluff, spectral ears, spectral tail"
pastel pink hair,,,,woven ribbon,,panama hat,,,,"animal tail fluff, demon tail",,"animal fluff, magical beast ears, magical beast tail"
pastel blue hair,,,,,,pilot cap,,,,"animal tail fluff, angel tail",,"animal fluff, cursed beast ears, cursed beast tail"
pastel purple hair,,,,,,plague doctor mask,,,,"animal tail fluff, ghost tail",,"animal fluff, holy beast ears, holy beast tail"
neon green hair,,,,,,pointed hat,,,,"animal tail fluff, ethereal tail",,"animal fluff, corrupted beast ears, corrupted beast tail"
electric blue hair,,,,,,pork pie hat,,,,"animal tail fluff, spectral tail",,"animal fluff, nine tails ears, nine tails"
rainbow hair,,,,,,racing helmet,,,,"animal tail fluff, magical tail",,"animal fluff, fluffy ears, fluffy tail"
galaxy hair,,,,,,rice hat,,,,"animal tail fluff, cursed tail",,"animal fluff, long ears, long tail"
ombre hair,,,,,,roman helmet,,,,"animal tail fluff, holy tail",,"animal fluff, short ears, short tail"
gradient hair,,,,,,sailor hat,,,,"animal tail fluff, corrupted tail",,"animal fluff, spiked ears, spiked tail"
split color hair,,,,,,samurai helmet,,,,"animal tail fluff, multi tails",,"animal fluff, scaled ears, scaled tail"
two-tone hair,,,,,,scarf hood,,,,"animal tail fluff, twin tails",,"animal fluff, feathered ears, feathered tail"
highlighted hair,,,,,,shadow hood,,,,"animal tail fluff, nine tails",,"animal fluff, glowing ears, glowing tail"
frosted tips hair,,,,,,silver crown,,,,"animal tail fluff, long tail",,"animal fluff, crystal ears, crystal tail"
metallic hair,,,,,,skull helmet,,,,"animal tail fluff, short tail",,"animal fluff, mechanical ears, mechanical tail"
glowing hair,,,,,,snapback,,,,"animal tail fluff, fluffy tail",,"animal fluff, cybernetic ears, cybernetic tail"
holographic hair,,,,,,sorcerer hat,,,,"animal tail fluff, spiked tail",,"animal fluff, metallic ears, metallic tail"
crystal hair,,,,,,space helmet,,,,"animal tail fluff, scaled tail",,"animal fluff, spirit ears, spirit tail"
shadow hair,,,,,,steampunk goggles,,,,"animal tail fluff, segmented tail",,"animal fluff, shadow ears, shadow tail"
dark silver hair,,,,,,steampunk helmet,,,,"animal tail fluff, smooth tail",,"animal fluff, water beast ears, aquatic tail"
ash brown hair,,,,,,stone crown,,,,"animal tail fluff, furry tail",,"animal fluff, fire beast ears, flame tail"
sand blonde hair,,,,,,straw hat,,,,"animal tail fluff, feathered tail",,"animal fluff, ice beast ears, ice tail"
mocha hair,,,,,,sun hat,,,,"animal tail fluff, crystalized tail",,"animal fluff, lightning beast ears, lightning tail"
rose gold hair,,,,,,swim goggles,,,,"animal tail fluff, glowing ribbon tail",,"animal fluff, wind beast ears, wind tail"
charcoal hair,,,,,,tactical visor,,,,"animal tail fluff, flame tail",,"animal fluff, earth beast ears, sand tail"
pearl white hair,,,,,,tech visor,,,,"animal tail fluff, ice tail",,"animal fluff, lava beast ears, lava tail"
onyx black hair,,,,,,thorn crown,,,,"animal tail fluff, lightning tail",,"animal fluff, toxic beast ears, toxic tail"
,,,,,,tiara,,,,"animal tail fluff, wind tail",,"animal fluff, slime beast ears, slime tail"
,,,,,,top hat,,,,"animal tail fluff, water tail",,"animal fluff, energy beast ears, energy tail"
,,,,,,trilby hat,,,,"animal tail fluff, sand tail",,"animal ear fluff, lava beast ears, animal tail fluff, lava tail"
,,,,,,veil,,,,"animal tail fluff, lava tail",,"animal ear fluff, toxic beast ears, animal tail fluff, toxic tail"
,,,,,,viking helmet,,,,"animal tail fluff, toxic tail",,"animal ear fluff, slime beast ears, animal tail fluff, slime tail"
,,,,,,visor,,,,"animal tail fluff, slime tail",,"animal ear fluff, liquid beast ears, animal tail fluff, liquid tail"
,,,,,,welding goggles,,,,"animal tail fluff, liquid tail",,"animal ear fluff, energy beast ears, animal tail fluff, energy tail"
,,,,,,wide-brim hat,,,,"animal tail fluff, energy tail",,
,,,,,,winged helmet,,,,,,
,,,,,,witch hat,,,,,,
,,,,,,witch hat with ribbon,,,,,,
,,,,,,wizard hat,,,,,,
,,,,,,wolf hood,,,,,,
